               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12746,            0.041659,                   0,           0.0016667,            0.018519,           0.0010089,          0.00010089,             0.13251,            0.039544,                   0,              0.0991,              0.0001,              0.0001
                   1,              0.1271,            0.035905,                   0,                   0,                   0,                   0,                   0,             0.13141,            0.040343,                   0,            0.097297,           0.0002973,           0.0002973
                   2,             0.12606,            0.043059,                   0,               0.005,            0.055556,            0.002721,           0.0002721,             0.12957,            0.041805,                   0,            0.095491,            0.000491,            0.000491
                   3,             0.12584,            0.035541,                   0,           0.0083333,            0.092593,           0.0047049,           0.0010061,             0.12686,            0.043782,                   0,            0.093681,           0.0006811,           0.0006811
                   4,             0.12444,            0.039871,                   0,           0.0083333,            0.092593,           0.0047895,           0.0018545,             0.12375,            0.046011,                   0,            0.091868,           0.0008676,           0.0008676
                   5,             0.12494,            0.036202,                   0,           0.0083333,            0.092593,           0.0048603,           0.0021519,             0.12076,            0.048198,                   0,            0.090051,           0.0010505,           0.0010505
                   6,             0.12275,            0.038841,                   0,           0.0077778,             0.12963,           0.0049216,           0.0016648,             0.11728,            0.050472,                   0,             0.08823,           0.0012298,           0.0012298
                   7,             0.11888,            0.045625,                   0,           0.0077778,             0.12963,           0.0053472,           0.0015647,              0.1145,            0.053067,                   0,            0.086406,           0.0014055,           0.0014055
                   8,             0.11937,             0.03843,                   0,           0.0077778,             0.12963,           0.0057176,           0.0020416,             0.11162,            0.055859,                   0,            0.084578,           0.0015776,           0.0015776
                   9,             0.11723,            0.044648,                   0,           0.0066667,             0.11111,           0.0052819,           0.0020915,             0.10918,            0.057995,                   0,            0.082746,           0.0017461,           0.0017461
                  10,             0.11495,            0.047398,                   0,           0.0066667,             0.14815,           0.0062009,           0.0020279,             0.10652,            0.060206,                   0,            0.080911,            0.001911,            0.001911
                  11,             0.11149,            0.049682,                   0,           0.0066667,             0.14815,           0.0064209,           0.0017111,             0.10391,            0.062837,                   0,            0.079072,           0.0020723,           0.0020723
                  12,               0.118,            0.031855,                   0,              0.0075,             0.16667,           0.0077404,           0.0021051,              0.1015,            0.065467,                   0,             0.07723,             0.00223,             0.00223
                  13,             0.10797,            0.052307,                   0,            0.010667,              0.2963,            0.017888,           0.0047109,            0.099992,            0.065862,                   0,            0.075384,           0.0023841,           0.0023841
                  14,             0.10462,            0.043003,                   0,            0.014667,             0.40741,            0.030947,           0.0065672,            0.098818,            0.065789,                   0,            0.073535,           0.0025346,           0.0025346
                  15,             0.10657,            0.050369,                   0,            0.045303,             0.35185,            0.080886,            0.015017,            0.096836,            0.065669,                   0,            0.071682,           0.0026815,           0.0026815
                  16,             0.10335,            0.047138,                   0,            0.016149,             0.44444,            0.042835,           0.0091282,            0.098008,            0.064272,                   0,            0.069825,           0.0028248,           0.0028248
